0,CombatZoneResize,113,256,548,366,TLResume,,,,,,,,,,
0,BoneVRepeat,568,356,25,2,60,100,15,0,3,,,2,,,1
0,BoneVRepeat,93,356,25,0,60,100,15,0,3,,,0,,,0
0,TLPause,,,,,,,,,,,,,,,
0,HeartTeleport,320,274,,,,,,,,,,,,,
0,HeartMode,1,,,,,,,,,,,,,,
0,Platform,320,241,40,2,100,1,,,,,,,,,
0,Platform,300,294,40,0,0,,,,,,,,,,
0,Platform,320,241,40,0,100,1,,,,,,,,,
0,bone,113,211,40,0,0,0,0,0,1,3.7,6,,,,
0,bone,548,211,40,0,0,0,0,0,1,-3.7,6,,,,
0,PlatformRepeat,320,191,30,0,100,25,80,,,,,,,,
,,,,,,,,,,,,,,,,
0,PlatformRepeat,320,141,30,2,100,25,80,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
0,Platform,280,45,80,0,0,,,,,,,,,,
1,CombatZoneResize,113,246,548,376,,,,,,,,,,,
0,HARD3,1,,,,,,,,,,,,,,
0,CombatZoneSpeed,150,,,,,,,,,,,,,,
0,CombatZoneResize,113,-40,548,90,TLResume,,,,,,,,,,
0,CombatZoneSpeed,40,,,,,,,,,,,,,,
0,BoneHRepeat,320,91,30,0,100,25,160,,,,,0,,,
0,BoneHRepeat,320,91,30,2,100,25,160,,,,,2,,,
0,PlatformRepeat,320,91,30,2,100,25,160,,,,,,,,
0,PlatformRepeat,320,91,30,0,100,25,160,,,,,,,,
0,TLPause,,,,,,,,,,,,,,,
0,HeartMode,0,,,,,,,,,,,,,,
2,CombatZoneResize,113,370,548,480,TLResume,,,,,,,,,,
0,CombatZoneSpeed,40,,,,,,,,,,,,,,
0,BoneHRepeat,320,401,45,0,120,25,120,,,,,0,,,
0,BoneHRepeat,320,351,25,2,136,25,140,,,,,2,,,
0,BoneHRepeat,320,301,60,0,100,25,100,,,,,0,,,
0,TLPause,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
0,HARD3,0,,,,,,,,,,,,,,
0,EndAttack,,,,,,,,,,,,,,,
