0,CombatZoneResize,221,66,426,391,TLResume,,,
0,HeartTeleport,320,376,,,,,,
0,HeartMode,0,,,,,,,
0,TLPause,,,,,,,,
0,SEA,1,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
0,SET,Loop,7,,,,,,
0,SUB,Loop,$Loop,1,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0,ANGLE,Ang,221,66,$HeartX,$HeartY,,,
0,ANGLE,Ang2,426,66,$HeartX,$HeartY,,,
0,gasterblaster,1,0,0,221,66,$Ang,0.4,0.2
0,gasterblaster,1,640,0,426,66,$Ang2,0.4,0.2
1.8,JMPNZ,16,$Loop,,,,,,
0,SEA,0,,,,,,,
1,EndAttack,,,,,,,,
