0,CombatZoneResize,113,231,548,391,TLResume,,,,,,,
0,HeartTeleport,320,304,,,,,,,,,,
0,HeartMode,1,,,,,,,,,,,
0,TLPause,,,,,,,,,,,,
0,BoneVRepeat,108,144,120,0,80,80,15,0,1,40,4,0
0,BoneVRepeat,554,334,120,2,80,80,15,0,1,40,4,2
,,,,,,,,,,,,,
0,PlatformRepeat,58,336,35,0,100,25,120,,,,,
0,PlatformRepeat,598,291,55,2,100,25,120,,,,,
14,EndAttack,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
0,EndAttack,,,,,,,,,,,,
