0,CombatZoneResize,113,231,548,391,TLResume,,,,,,,
0,HeartTeleport,320,304,,,,,,,,,,
0,HeartMode,1,,,,,,,,,,,
0,TLPause,,,,,,,,,,,,
0,BoneVRepeat,108,144,120,0,80,80,15,0,1,40,4,0
0,BoneVRepeat,554,144,120,2,80,80,15,0,1,40,4,2
0,BoneVRepeat,554,334,120,2,80,80,15,0,1,40,4,2
0,BoneVRepeat,108,334,120,0,80,80,15,0,1,40,4,0
0,PlatformRepeat,58,336,35,0,100,25,120,,,,,
0,PlatformRepeat,598,291,55,2,100,25,120,,,,,
3,GetHeartPos,x,y,,,,,,,,,,
0,rnd,sb,435,,,,,,,,,,
0,add,sb,$sb,113,,,,,,,,,
0,angle,ang,$sb,116,$x,$y,,,,,,,
0,GasterBlaster,1,$sb,480,$sb,166,$ang,0.5,0.26666,1,,,
3,GetHeartPos,x,y,,,,,,,,,,
0,rnd,sb,435,,,,,,,,,,
0,add,sb,$sb,113,,,,,,,,,
0,angle,ang,$sb,116,$x,$y,,,,,,,
0,GasterBlaster,1,$sb,480,$sb,166,$ang,0.5,0.26666,1,,,
3,GetHeartPos,x,y,,,,,,,,,,
0,rnd,sb,435,,,,,,,,,,
0,add,sb,$sb,113,,,,,,,,,
0,angle,ang,$sb,116,$x,$y,,,,,,,
0,GasterBlaster,1,$sb,480,$sb,166,$ang,0.5,0.26666,1,,,
3,GetHeartPos,x,y,,,,,,,,,,
0,rnd,sb,435,,,,,,,,,,
0,add,sb,$sb,113,,,,,,,,,
0,angle,ang,$sb,116,$x,$y,,,,,,,
0,GasterBlaster,1,$sb,480,$sb,166,$ang,0.5,0.26666,1,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
2,EndAttack,,,,,,,,,,,,
